NVDA
GOOG
GOOGL
AAPL
MSFT
AMZN
META
AVGO
TSLA
TSM
BRK.A
BRK.B
LLY
WMT
JPM/PC
JPM/PK
JPM/PD
JPM/PM
JPM
JPM/PL
JPM/PJ
V
ORCL
XOM
MA
JNJ
ASML
PLTR
NFLX
MER/PK
BAC/PE
BAC/PQ
BAC/PM
BAC/PS
BAC/PP
BML/PL
BAC
BAC/PN
BAC/PB
BAC/PO
BAC/PL
BML/PG
BAC/PK
BML/PH
BML/PJ
COST
ABBV
MU
BABA
HD
AMD
GE
PG
CVX
UNH
WFC/PL
WFC/PA
WFC/PD
WFC/PZ
WFC/PC
WFC
WFC/PY
KO
AZN
MS
MS/PQ
MS/PI
MS/PE
MS/PA
MS/PK
MS/PP
MS/PF
MS/PO
MS/PL
CSCO
CAT
IBM
SAP
GS/PA
GS/PC
GS/PD
GS
TM
HSBC
MRK
NVS
AXP
NVO
PM
LRCX
RTX
CRM
RY
TMO
TMUS
AMAT
ABT
MCD
SHOP
